   [paribhāṣā]	[pariBAzA]
   saṃguṇitam 1800/ dāru-dāraṇa-pathais 4 guṇitam 7200/	saMguNitam 1800/ dAru--dAraNa--paTEH 4 guNitam 7200/
   %ṣaṣ-#svara-#iṣu-576-vihṛtam jātam kara-ātmakam gaṇitam 25_2//	%zaz-#svara--#izu-576--vihRtam jAtam kara-Atmakam gaNitam 25_2//
   krakaca-antare karaṇa-sūtram sa-%ardha-vṛttam/	krakaca-antare karaNa-sUtram sa-%arDa-vRttam/
   Lil_225a/ @chidyate tu yadi tiryak ukta-vat piṇḍa-vistṛti-hates phalam	Lit-_225a/ @Cidyate tu yadi tiryak ukta-vat piNxa--vistRti--hateH Palam
   tadā/ [śarma:-hṛtes < -hates]	tadA/ [Sarma:--hRteH < -hates]
   Lil_225c/ iṣṭakā-citi-dṛṣad-citi-khāta-krākaca-vyavahṛtau khalu mūlyam/	Lit-_225c/ izwakA-a-citi--dRzad--citi--KAta-krAka-ca-vyavahRtO Kalu mUlyam/
   Lil_225e/ karma-kāra-jana-saṃpratipattyā tad-mṛdutva-kaṭhinatva-vaśena//	Lit-_225e/ karma--kAra--jana--saMpratipattyA tad-mRdu-tva--kaWina-tva-vaSena//
   Lil_225p/ udāharaṇam/	Lit-_225p/ udAharaNam/
   Lil_226a/ yad-vistṛtis #danta-mitā aṅgulāni piṇḍas tathā %ṣoḍaśa yatra	Lit-_226a/ yat--vistRtiH #danta-mitAH aFgulAni piNxaH taTA %zoxaSa yatra
   kāṣṭhe/	kAzWe/
   Lil_226c/ chedeṣu tiryak %navasu @pracakṣva kim @syāt phalam tatra	Lit-_226c/ Cedezu tiryak %navasu @pracakzva kim @syAt Palam tatra
   kara-ātmakam me//	kara-Atmakam me//
   Lil_226p1/ nyāsas/ [fig.40] vistāras 32/ piṇḍas 16/ piṇḍa-vistṛti-hatis	Lit-_226p1/ nyAsas/ [fig.40] vistAraH 32/ piNxaH 16/ piNxa-vistRti--hati-s
   512/ dāru-dāraṇa-mārga-9-ghnī 4608/ %ṣaṣ-#svara-#iṣu-576-vihṛtā jātam	512/ dAru--dAraNa--mArga-9-GnI 4608/ %zaz-#svara--#izu-576--vihRtA jAtam
   phalam hastās 8// iti krakaca-vyavahāras//	Palam hastAH 8// iti krakaca--vyavahAra-s//
   [rāśi-vyavahāra]	[rASi--vyavahAra]
   Lil_226p1/ atha rāśi-vyavahāre karaṇa-sūtram vṛttam/	Lit-_226p1/ aTa rASi--vyavahAre karaNa-sUtram vRttam/
   Lil_227a/ anaṇuṣu %daśama-aṃśas aṇuṣu atha %ekādaśa-aṃśas	Lit-_227a/ anaNuzu %da-Sama--aMSaH aNuzu aTa %ekAdaSa--aMSa-s
   paridhi-%navama-bhāgas śūki-dhānyeṣu vedhas/ [śarma: śūka- < śūki-]	pariDi-%nava-ma-BAgaH SUki-DAnyezu veDas/ [Sarma: SUka < SUki-]
   Lil_227c/ @bhavati paridhi-%ṣaṣṭhe vargite vedha-nighne ghana-gaṇita-karās	Lit-_227c/ @Bavati pariDi-%zazWe vargite veDa--niGne Gana--gaNita--karAH-
   @syus māgadhās tās ca khāryas//	@syuH mAgaDAH tAH ca KAryas//
   Lil_227p/ udāharaṇam/	Lit-_227p/ udAharaNam/
   Lil_228a/ sama-bhuvi kila rāśis yas sthitas	Lit-_228a/ sama-Buvi kila rASiH yaH sTita-s
   sthūla-dhānya-paridhi-parimitis @syāt hasta-%ṣaṣṭis yadīyā/	sTUla-DAnya--pariDi--parimitiH @syAt hasta--%zazwiH yadIyA/
   [śarma:-dhānyas < -dhānya-, vai < syāt]	[Sarma:-DAnyaH < -DAnya-, vE < syAt-]
   Lil_228c/ @pravada gaṇaka khāryas kim-mitās @santi tasmin atha pṛthak	Lit-_228c/ @pravada gaNaka KAryaH kim--mitAH @santi tasmin aTa pRTak-
   aṇu-dhānyais śūka-dhānyais ca śīghram// [śarma: aṇu-dhānye śūki-dhānye ca]	aNu-DAnyEH SUka-DAnyEH ca SIGram// [Sarma: aNu-DAnye SUki-DAnye ca]
   Lil_228p/ atha sthūla-dhānya-rāśi-māna-avabodhanāya nyāsas/ [fig.41]	Lit-_228p/ aTa sTUla-DAnya--rASi--mAna--avaboDanAya nyAsas/ [fig.41]
   paridhis 60/ vedhas 6/ paridhes %ṣaṣṭha-aṃśas 10/ vargitas 100/	pariDiH 60/ veDaH 6/ pariDeH %zazWa-aMSaH 10/ vargitaH 100/
   vedha-6-nighnas/ labdhās khāryas 600// atha aṇu-dhānya-rāśi-māna-ānayanāya	veDa-6-niGnas/ labDAH KAryaH 600// aTa aNu-DAnya-rASi--mAna-AnayanAya
   nyāsas/ [fig.42] paridhis 60/ vedhas 60_11/ jātam phalam 545_5_11// atha	nyAsas/ [fig.42] pariDiH 60/ veDaH 60_11/ jAtam Palam 545_5_11// aTa
   śūka-dhānya-rāśi-māna-ānayanāya nyāsas/ [fig.43] paridhis 60/ vedhas 20_3/	SUka-DAnya--rASi--mAna-AnayanAya nyAsas/ [fig.43] pariDiH 60/ veDaH 20_3/
   khāryas 666_2_3// atha	KAryaH 666_2_3// aTa
   bhitti-antar-bāhya-koṇa-saṃlagna-rāśi-pramāṇa-ānayana-karaṇa-sūtram	Bitti-antar--bAhya--koNa--saMlagna--rASi--pramANa--Anayana-karaNa-sUtram
   vṛttam/	vRttam/
   Lil_229a/ %dvi-#veda-sa-%tri-bhāga-%eka-nighnāt tu paridhes phalam/	Lit-_229a/ %dvi-#veda--sa-%-tri-BAga-%eka--niGnAt tu pariDeH Palam/
   Lil_229c/ bhitti-antar-bāhya-koṇa-stha-rāśes sva-guṇa-bhājitam// [śarma:	Lit-_229c/ Bitti-antar--bAhya--koNa--sTa-rASeH sva--guNa--BAjitam// [Sarma:
   -antar-koṇa-bāhya-stha-]	-antar--koNa-bAhya--sTa-]
   Lil_229p/ udāharaṇam/	Lit-_229p/ udAharaNam/
   Lil_230a/ paridhis bhitti-lagnasya rāśes %triṃśat-karas kila/	Lit-_230a/ pariDiH Bitti-lagnasya rASeH %triMSat--karaH kila/
   Lil_230c/ antar-koṇa-sthitasya api #tithi-tulya-karas sakhe//	Lit-_230c/ antar--koNa--sTitasya api #tiTi--tulya-karaH saKe//
   Lil_231a/ bahir-koṇa-sthitasya api %pañca-ghna-%nava-saṃmitas/	Lit-_231a/ bahis--koNa--sTitasya api %paQca-Gna--%nava--saMmitas/
   Lil_231c/ teṣām @ācakṣva me kṣipram ghana-hastān pṛthak pṛthak//	Lit-_231c/ tezAm @Acakzva me kzipram Gana-hastAn pRTak pRTak//
   Lil_231p1/ atra api sthūla-ādi-dhānyānām rāśi-māna-avabodhanāya spaṣṭam	Lit-_231p1/ atra api sTUla--Adi-DAnyAnAm rASi--mAna--avaboDanAya spazwam
   kṣetra-%trayam/ tatra ādau anaṇu-dhānya-rāśi-māna-bodhakam kṣetram/	kzetra--%-trayam/ tatra AdO anaNu-DAnya--rASi--mAna--boDakam kzetram/
   nyāsas/ [fig.44] atra ādyasya paridhis 30 %dvi-nighnas 60/ anyas 15	nyAsas/ [fig.44] atra Adyasya pariDiH 30 %dvi-niGnaH 60/ anyaH 15
   %catur-ghnas 60/ aparas 45 sa-%tri-bhāga-%eka-4_3-nighnas 60/ eṣām vedhas	%catur-GnaH 60/ aparaH 45 sa-%tri-BAga--%eka-4_3-niGnaH 60/ ezAm veDas
   6 ebhyas phalam tulyam etāvantyas eva khāryas 600/ etat sva-sva-guṇena	6 eByaH Palam tulyam etAvantyaH eva KAryaH 600/ etat sva--sva-guNena
   bhaktam	Baktam
   jātam pṛthak pṛthak phalam 300/ 150/ 450// atha	jAtam pRTak pRTak Palam 300/ 150/ 450// aTa
   aṇu-dhānya-rāśi-māna-ānayanāya nyāsas/ [fig.45] pūrva-vat kṣetra-%trayāṇām	aNu-DAnya--rASi--mAna-AnayanAya nyAsas/ [fig.45] pUrva-vat kzetra--%trayANAm
   sva-guṇa-guṇita-paridhis 60/ vedhas 60_11/ phalāni 272_8_11/ 136_4_1/	sva--guNa--guNita-pariDiH 60/ veDaH 60_11/ PalAni 272_8_11/ 136_4_1/
   409_1_11// atha śūki-dhānya-rāśi-māna-ānayanāya nyāsas/ [fig.46] atra api	409_1_11// aTa SUki-DAnya--rASi--mAna-AnayanAya nyAsas/ [fig.46] atra api
   pūrva-vat kṣetra-%trayāṇām sva-guṇa-guṇitas paridhis 60/ vedhas 20_3/	pUrva-vat kzetra--%trayANAm sva--guNa--guNitaH pariDiH 60/ veDaH 20_3/
   phalāni 333_1_3/	PalAni 333_1_3/
   166_2_3/ 500// iti rāśi-vyavahāras samāptas//	166_2_3/ 500// iti rASi--vyavahAraH samApta-s//
   [chāyā-vyavahāra]	[CAyA--vyavahAra]
   Lil_231p2/ atha chāyā-vyavahāre karaṇa-sūtram vṛttam/	Lit-_231p2/ aTa CAyA--vyavahAre karaNa-sUtram vRttam/
   Lil_232a/ chāyayos karṇayos antare ye tayos varga-viśleṣa-bhaktās	Lit-_232a/ CAyayoH karNayoH antare ye tayoH varga--viSleza--BaktAs
   #rasa-#adri-#iṣavas/	#rasa-#adri--#iza-vas/
   Lil_232c/ sa-%eka-labdhes pada-ghnam tu karṇa-antaram bhā-antareṇa	Lit-_232c/ sa-%eka--labDeH pada--Gnam tu karNa--antaram BA-antareNa
   ūna-yuktam #dale @stas prabhe// [śarma: stambha-bhe < stas prabhe]	Una--yuktam #dale @staH praBe// [Sarma: stamBa-Be < staH praBe]
   Lil_232p/ udāharaṇam/	Lit-_232p/ udAharaNam/
   Lil_233a/ #nanda-#candrais mitam chāyayos antaram karṇayos antaram	Lit-_233a/ #nanda-#candrEH mitam CAyayoH antaram karNayoH antaram
   #viśva-tulyam yayos/	#viSva--tulyam yayos/
   Lil_233c/ te prabhe @vakti yas yuktimān @vetti asau vyaktam avyakta-yuktam	Lit-_233c/ te praBe @vakti yaH yuktimAn @vetti asO vyaktam avyakta-yuktam
   hi @manye akhilam// [śarma: yukti-mārgeṇa me < yuktimān vetti asau,	hi @manye aKilam// [Sarma: yukti--mArgeNa me < yuktimAn vetti asO,
   avyaktam uktam < avyakta-yuktam]	avyaktam uktam < avyakta--yuktam]
   Lil_233p/ chāyā-antaram 19/ karṇa-antaram 13/ anayos varga-antareṇa 192	Lit-_233p/ CAyA-antaram 19/ karNa--antaram 13/ anayoH varga-antareNa 192
   bhaktās #rasa-#adri-#iṣavas 576 labdham 3/ sa-%ekasya asya 4 mūlam 2/	BaktAH #rasa-#adri-#izavaH 576 labDam 3/ sa-%ekasya asya 4 mUlam 2/
   anena karṇa-antaram 13 guṇitam 26 %dvi-stham 26/ 26 bhā-antareṇa 19	anena karNa--antaram 13 guNitam 26 %dvi-sTam 26/ 26 BA-antareNa 19
   ūna-yute 7/ 45/ tad-%ardhe labdhe chāye 7_2/ 45_2/ tad-kṛtyos yoga-padam	Una--yute 7/ 45/ tad--%arDe labDe CAye 7_2/ 45_2/ tad--kRtyoH yoga-padam
   iti-ādinā jātau karṇau 25_2/ 51_2[//] chāyā-antare karaṇa-sūtram	iti-AdinA jAtO karNO 25_2/ 51_2[//] CAyA--antare karaNa-sUtram
   vṛtta-%ardham/	vRtta--%arDam/
   Lil_234a/ śaṅkus pradīpa-tala-śaṅku-tala-antara-ghnas chāyā @bhavet	Lit-_234a/ SaFkuH pradIpa-tala--SaFku-tala--antara--GnaH CAyA @Bavet-
   vi-nara-dīpa-śikha-auccya-bhaktas// [śarma: -aucca-]	vi-nara-dI-pa-SiKa--Occya--Bakta-s// [Sarma: -Occa-]
   Lil_234p/ udāharaṇam/	Lit-_234p/ udAharaNam/
   Lil_235a/ śaṅku-pradīpa-antara-bhūs %tri-hastā dīpa-ucchritis	Lit-_235a/ SaFku-pradIpa-antara-BUH %tri-hastA dIpa-ucCritis
   sa-%ardha-kara-%trayā ced/	sa-%arDa--kara--%trayA ced-/
   Lil_235c/ śaṅkos tadā #arka-aṅgula-saṃmitasya tasya prabhā @syāt kiyatī	Lit-_235c/ SaFkoH tadA #arka--aFgula--saMmitasya tasya praBA @syAt kiyatI
   @vada āśu//	@vadaH ASu//
   Lil_235p/ nyāsas/ [fig.48] śaṅkus 1_2/ pradīpa-śaṅku-tala-antaram 3/	Lit-_235p/ nyAsas/ [fig.48] SaFkuH 1_2/ pradIpa--SaFku-tala-antaram 3/
   anayos ghātas 3_2/ vi-nara-dīpa-śikha-aucyena 3 bhaktas labdhāni	anayoH GAtaH 3_2/ vi-nara-dI-pa-SiKa--Ocyena 3 BaktaH labDAni
   chāyā-aṅgulāni 12// atha dīpa-ucchriti-ānayanāya karaṇa-sūtram	CAyA--aFgulAni 12// aTa dIpa-ucCriti-AnayanAya karaNa-sUtram
   vṛtta-%ardham/	vRtta--%arDam/
   Lil_236/ chāyā-hṛte tu nara-dīpa-tala-antara-ghne śaṅkau @bhavet nara-yute	Lit-_236/ CAyA-hRte tu nara-dI-pa-tala-antara-Gne SaFkO @Bavet nara--yute
   khalu dīpaka-aucyam// [śarma: -uddhṛte < hṛte, -auccam < -aucyam]	Kalu dIpaka--Ocyam// [Sarma: -udDRte < hRte, -Occam < -Ocyam]
   Lil_236p/ udāharaṇam/	Lit-_236p/ udAharaNam/
   Lil_237a/ pradīpa-śaṅku-antara-bhūs %tri-hastā chāyā-aṅgulais %ṣoḍaśabhis	Lit-_237a/ pradIpa--SaFku-antara--BUH %tri-hastA CAyA--aFgulEH %zoxaSaBis
   samā ced/	samA ced-/
   Lil_237c/ dīpa-ucchritis @syāt kiyatī @vada āśu pradīpa-śaṅku-antaram	Lit-_237c/ dIpa-ucCritiH @syAt kiyatI @vadaH ASu pradIpa--SaFku-antaram
   @ucyatām me// [śarma: tathā ābhyām < vada āśu]	@ucyatAm me// [Sarma: taTA AByAm < vada ASu]
   Lil_237p/ nyāsas/ [fig.49] śaṅkus 12/ chāyā-aṅgulāni 16/	Lit-_237p/ nyAsas/ [fig.49] SaFkuH 12/ CAyA--aFgulAni 16/
   śaṅku-pradīpa-antara-hastās 3/ labdham dīpaka-auccyam hastās 11_4//	SaFku--pradIpa--antara--hastAH 3/ labDam dIpaka--Occyam hastAH 11_4//
   pradīpa-śaṅku-antara-bhū-māna-ānayanāya karaṇa-sūtram vṛtta-%ardham/	pradIpa--SaFku-antara--BU--mAna-AnayanAya karaNa-sUtram vRtta--%arDam/
   Lil_238/ vi-śaṅku-dīpa-ucchraya-saṃguṇā bhā śaṅku-uddhṛtā	Lin-_238/ vi-SaFku-dI-pa-ucSraya--saMguNA BA SaFku-udDRtA
   dīpa-nara-antaram @syāt//	dIpa-nara--antaram @syAt//
   Lil_238p/ udāharaṇam/ pūrva-uktas eva dīpa-ucchrāyas 11_4/ [śarma:	Lit-_238p/ udAharaNam/ pUrva--uktaH eva dIpa--ucCrAyaH 11_4/ [Sarma:
   pūrva-uktam eva/] śaṅku-aṅgulāni 12 chāyā 16/ labdhās	pUrva--uktam eva/] SaFku-aFgulAni 12 CAyA 16/ labDAs
   śaṅku-pradīpa-antara-hastās 3// chāyā-pradīpa-antara-dīpa-auccya-ānayanāya	SaFku--pradIpa--antara--hastAH 3// CAyA--pradIpa--antara-dIpa--Occya--AnayanAya
   karaṇa-sūtram sa-%ardha-vṛttam/	karaNa-sUtram sa-%arDa-vRttam/
   Lil_239a/ chāyā-agrayos antara-saṃguṇā bhā chāyā-pramāṇa-antara-hṛt	Lit-_239a/ CAyA--agrayoH antara--saMguNA BAs CAyA-pramANa--antara--hRt
   @bhavet bhūs/	@Bavet BUs/
   Lil_239c/ bhū-śaṅku-ghātas prabhayā vibhaktas @prajāyate	Lit-_239c/ BU--SaFku-GAtaH praBayA viBaktaH @prajAyate
   dīpa-śikha-auccyam evam/	dIpa-SiKa--Occyam evam/
   Lil_239e/ trairāśikena eva yat etat uktam vyāptam sva-bhedais hariṇā iva	Lit-_239e/ trErASikena eva yat etat uktam vyAptam sva-BedEH hariNAH iva
   viśvam//	viSvam//
   Lil_239p/ udāharaṇam/	Lit-_239p/ udAharaNam/
   Lil_240a/ śaṅkos bhā #arka-mita-aṅgulasya su-mate dṛṣṭā kila %aṣṭa-aṅgulā	Lit-_240a/ SaFkoH BAs #arka--mita--aFgulasya su-mate dRzwA kila %azwa--aFgulA
   chāyā-agra-abhimukhe kara-%dvaya-mite nyastasya deśe punar/	CAyA--agra--aBimuKe kara-%-dvaya-mite nyastasya deSe punar-/
   Lil_240c/ tasya eva #arka-mita-aṅgulā yadi tadā chāyā-pradīpa-antaram	Lit-_240c/ tasya eva #arka-mita--aFgulA yadi tadA CAyA--pradIpa--antaram
   dīpa-auccyam ca kiyat @vada vyavahṛtim chāyā-abhidhām @vetsi cet//	dIpa--Occyam ca kiyat @vada vyavahRtim CAyA-a-aBiDAm @vetsi cet//
   Lil_240p/ nyāsas/ [fig.50] atra chāyā-agrayos antaram aṅgula-ātmakam 52/	Lit-_240p/ nyAsas/ [fig.50] atra CAyA--agrayoH antaram aFgula-a-Atmakam 52/
   chāye ca 8/ 12/ anayos ādyā 8/ iyam anena 52 guṇitā 416	CAye ca 8/ 12/ anayoH AdyAH 8/ iyam anena 52 guNitAH 416
   chāyā-pramāṇa-antareṇa 4 bhaktā labdham bhū-mānam 104/ idam	CAyA--pramANa--antareNa 4 BaktA labDam BU--mAnam 104/ idam
   %prathama-chāyā-agra-dīpa-talayos antaram iti arthas/ evam	%praTama--CAyA--agra--dIpa-talayoH antaram iti arTas/ evam
   %dvitīya-chāyā-agra-bhū-mānam 156/ bhū-śaṅku-ghātas prabhayā vibhaktas iti	%dvitIya--CAyA--agra-BU--mAnam 156/ BU--SaFku-GAtaH praBayA viBaktaH iti
   jātam ubhaya-tas api dīpa-auccyam	jAtam uBaya-tas api dIpa--Occyam
   samam eva hastās 6_1_2/ evam iti atra chāyā-vyavahāre trairāśika-kalpanayā	samam eva hastAH 6_1_2/ evam iti atra CAyA--vyavahAre trErASika-kalpanayA
   ānayanam @vartate tat yathā/ %prathama-chāyātas 8 %dvitīya-chāyā 12 yāvatā	Anayanam @vartate tat yaTA/ %praTama-CAyAtaH 8 %dvitIya--CAyA 12 yAvatA
   adhikā tāvatā chāyā-avayavena yadi chāyā-agra-antara-tulyā bhūs @labhyate	aDikA tAvatA CAyA-avayavena yadi CAyA-agra-antara--tulyA BUH @laByate
   tadā %prathama-chāyayā kim iti/ evam pṛthak pṛthak	tadA %praTama--CAyayA kim iti/ evam pRTak pRTak-
   chāyā-pradīpa-tala-antara-pramāṇam @labhyate/ tatas %dvitīyam trairāśikam/	CAyA--pradIpa-tala-antara--pramANam @laByate/ tatas %dvitIyam trErASikam/
   yadi	yadi
   chāyā-tulye bhuje śaṅkus koṭis tadā bhū-tulye bhuje kim iti/ labdham	CAyA--tulye Buje SaFkuH kowiH tadA BU--tulye Buje kim iti/ labDam
   dīpaka-auccyam ubhayatas api tulyam eva/ evam pañcarāśika-ādikam akhilam	dIpaka--Occyam uBayatas api tulyam eva/ evam paQca-rASika-Adikam aKilam
   trairāśika-kalpanayā eva siddham/ yathā bhagavatā śrī-nārāyaṇena	trErASika-kalpanayA eva sidDam/ yaTA BagavatA SrI-nArAyaNena
   janana-maraṇa-kleśa-apahāriṇā nikhila-jagat-janana-%eka-bījena	janana--maraNa--kleSa--apahAriNA niKila--jagat--janana-%eka--bIjena
   sakala-bhuvana-bhāvanena giri-sarit-sura-nara-asura-ādibhis sva-bhedais	sakala--Buvana-BAvanena giri--sarit--sura--nara--a-sura-AdiBiH sva-BedEH-
   idam jagat vyāptam	idam jagat vyAptam
   tathā idam akhilam gaṇita-jātam trairāśikena vyāptam// yadi evam	taTA idam aKilam gaNita-jAtam trErASikena vyAptam// yadi evam
   tad-bahubhis kim iti āśaṅkyā āha/	tad--bahuBiH kim iti ASaFkyAH Aha/
   Lil_241a/ yat kiṃcit guṇa-bhāga-hāra-vidhinā bīje atra vā @gaṇyate tat	Lit-_241a/ yat kiMcid guNa--BAga-hAra--viDinA bIje atra vA @gaNyate tat-
   trairāśikam eva nirmala-dhiyām eva avagamyam vidām/ [śarma: avagamyā	trErASikam eva nirmala-DiyAm eva avagamyam vidAm/ [Sarma: avagamyA
   bhidā]	BidA]
   Lil_241c/ etat yat bahudhā asmad-ādi-jaḍa-dhī-dhī-vṛddhi-buddhyā budhais	Lit-_241c/ etat yat bahuDA asmad--Adi-jaxa-DI-DI--vRdDi--budDyA buDEH-
   tad-bhedān su-gamān @vidhāya racitam prājñais prakīrṇa-ādikam// [śarma:	tad--BedAn su-gamAn @viDAya racitam prAjQEH prakIrNa-Adikam// [Sarma:
   -buddhi-pravṛddhyai < -vṛddhi-buddhyā, -bheda-anugamān < -bhedān sugamān]	-budDi--pravRdDyE < -vRdDi-budDyA, -Beda--anugamAn < -BedAn sugamAn]
   Lil_241p1/ iti śrī-bhāskara-ācārya-viracitāyām līlāvatyām chāyā-adhikāras	Lit-_241p1/ iti SrI--BAskara-AcArya--viracitAyAm lIlAvatyAm CAyA-aDikAra-s
   samāptim @agāt//	samAptim @agAt//
   [kuṭṭaka]	[kuwwaka]
   Lil_241p2/ atha kuṭṭake karaṇa-sūtram vṛtta-%pañcakam/	Lit-_241p2/ aTa kuwwake karaNa-sUtram vRtta--%-paQcakam/
   Lil_242a/ bhājyas hāras kṣepakas ca apavartyas kena api ādau saṃbhave	Lit-_242a/ BAjyaH hAraH kzepakaH ca apavartyaH kena api AdO saMBave
   kuṭṭaka-%artham/	kuwwaka--%arTam/
   Lil_242c/ yena chinnau bhājya-hārau na tena kṣepas ca etat duṣṭam uddiṣṭam	Lit-_242c/ yena CinnO BAjya--hArO na tena kzepaH ca etat duzwam uddizwam
   eva//	eva//
   Lil_243a/ parasparam bhājitayos yayos yas śeṣas tayos @syāt apavartanam	Lit-_243a/ parasparam BAjitayoH yayoH yaH SezaH tayoH @syAt apavartanam
   sas/	sa-s/
   Lil_243c/ tena apavartena vibhājitau yau tau bhājya-hārau dṛḍha-saṃjñitau	Lit-_243c/ tena apavartena viBAjitO yO tO BAjya--hArO dRXa--saMjQitO
   @stas//	@stas//
   Lil_244a/ mithas @bhajet tau dṛḍha-bhājya-hārau yāvat vibhājye @bhavati	Lit-_244a/ miTas @Bajet tO dRXa--BAjya--hArO yAvat viBAjye @Bavati
   iha #rūpam/	iha #rUpam/
   Lil_244c/ phalāni adhas adhas tad-adhas niveśyas kṣepas tatas śūnyam	Lit-_244c/ PalAni aDas aDas tad--aDas niveSyaH kzepaH tatas SUnyam
   upāntimena//	upAnti-mena//
   Lil_245a/ sva-ūrdhve hate antyena yute tad-antyam @tyajet muhus @syāt iti	Lit-_245a/ sva-UrDve hate antyena yute tat--antyam @tyajet muhur @syAt iti
   rāśi-#yugmam/	rASi--#yugmam/
   Lil_245c/ ūrdhvas vibhājyena dṛḍhena taṣṭas phalam guṇas @syāt adharas	Lit-_245c/ UrDvaH viBAjyena dRXena tazwaH Palam guNaH @syAt aDara-s
   hareṇa//	hareNa//
   Lil_246a/ evam tadā eva atra yadā samās tās @syus labdhayas ced viṣamās	Lit-_246a/ evam tadA eva atra yadA samAH tAH @syuH labDayaH ced vizamAs
   tadānīm/	tadAnIm/
   Lil_246c/ yathā āgatau labdhi-guṇau viśodhyau sva-takṣaṇāt śeṣa-mitau tu	Lit-_246c/ yaTA AgatO labDi-guNO viSoDyO sva--takzaNAt Seza-mitO tu
   tau @stas//	tO @stas//
   Lil_246p/ udāharaṇam/	Lit-_246p/ udAharaNam/
   Lil_247a/ %ekaviṃśati-yutam %śata-%dvayam yad-guṇam gaṇaka	Lit-_247a/ %ekaviMSati--yutam %Sata-%-dvayam yat--guNam gaNaka
   %pañcaṣaṣṭi-yuk/	%paQca-zazwi-yuk/
   Lil_247c/ %pañca-varjita-%śata-%dvaya-uddhṛtam śuddhim @eti guṇakam @vada	Lit-_247c/ %paQca-varjita--%Sata-%-dvaya--udDRtam SudDim @A-iti guNakam @vada
   āśu tam//	ASu tam//
   Lil_247p/ nyāsas/ bhājyas 221/ hāras 195/ kṣepas 65/ atra	Lit-_247p/ nyAsas/ BAjyaH 221/ hAraH 195/ kzepaH 65/ atra
   paraspara-bhājitayos bhājya-221-bhājakayos 195 śeṣam 13/ anena	paraspara--BAjitayoH BAjya--221-BAjakayoH 195 Sezam 13/ anena
   bhājya-hāra-kṣepās apavartitās jātas bhājyas 17/ [āpaṭe: apavarttitās]	BAjya--hAra-kzepAH apavartitAH jAtaH BAjyaH 17/ [Apawe: apavarttitAs]
   hāras 15/ kṣepas 5/ anayos dṛḍha-bhājya-hārayos paraspara-bhaktayos	hAraH 15/ kzepaH 5/ anayoH dRXa--BAjya--hArayoH paraspara--BaktayoH-
   labdhāni adhas adhas tad-adhas kṣepas tad-adhas #śūnyam niveśyam iti	labDAni aDas aDas tad--aDas kzepaH tad--aDas #SUnyam niveSyam iti
   nyaste jātā vallī {btabular}	nyaste jAtA vallI {bta-bular}
   1 \\ 7 \\ 5 \\ 0 {etabular} upāntimena sva-ūrdhve hate iti-ādi-karaṇena	1 \\ 7 \\ 5 \\ 0 {eta-bular} upAntimena sva-UrDve hate iti-Adi--karaNena
   jātam rāśi-%dvayam {btabular} 40 \\ 35 {etabular} etau	jAtam rASi-%-dvayam {bta-bular} 40 \\ 35 {eta-bular} etO
   dṛḍha-bhājya-hārābhyām {btabular} 17 \\ 15 {etabular} taṣṭau labdhi-guṇau	dRXa--BAjya--hArAByAm {bta-bular} 17 \\ 15 {eta-bular} tazwO labDi-guNO
   jātau 6/ 5/ iṣṭa-āhata-sva-sva-hareṇa yukte iti vakṣyamāṇa-vidhinā etau	jAtO 6/ 5/ izwa--Ahata--sva--sva-hareNa yukte iti vakzyamANa--viDinA etO
   iṣṭa-guṇita-sva-takṣaṇa-yuktau vā labdhi-guṇau 23/ 20/ %dvikena iṣṭena vā	izwa--guNita--sva--takzaNa-yuktO vA labDi-guNO 23/ 20/ %dvikena izwena vA
   iti-ādi// kuṭṭaka-antare karana-sūtram vṛttam/	iti-Adi// kuwwaka--antare karana-sUtram vRttam/
   Lil_248a/ @bhavati kuṭṭa-vidher yuti-bhājyayos samapavartitayos api vā	Lit-_248a/ @Bavati kuwwa-viDeH yuti-BAjyayoH samapavartitayoH api vA
   guṇas/	guNa-s/
   Lil_248c/ @bhavati yas yuti-bhājakayos punar sas ca @bhavet	Lit-_248c/ @Bavati yaH yuti-BAjakayoH punar saH ca @Bavet-
   apavartana-saṃguṇas//	apavartana--saMguNa-s//
   Lil_248p/ udāharaṇam/	Lit-_248p/ udAharaNam/
   Lil_249a/ %śatam hatam yena yutam %navatyā vivarjitam vā vihṛtam	Lit-_249a/ %Satam hatam yena yutam %navatyA vivarjitam vA vihRtam
   %triṣaṣṭyā/	%trizazwyA/
   Lil_249c/ nis-agrakam @syāt @vada me guṇam tam spaṣṭam paṭīyān yadi	Lit-_249c/ nis-agrakam @syAt @vada me guNam tam spazwam pawIyAn yadi
   kuṭṭake @asi//	kuwwake @asi//
   Lil_249p/ nyāsas/ bhājyas 100/ hāras 63/ kṣepas 90/ jātā pūrva-vat	Lit-_249p/ nyAsas/ BAjyaH 100/ hAraH 63/ kzepaH 90/ jAtA pUrva-vat-
   labdhi-kṣepāṇām vallī {btabular} 1 \\ 1 \\ 1 \\ 2 \\ 2 \\ 1 \\ 90 \\ 0	labDi-kzepANAm vallI {bta-bular} 1 \\ 1 \\ 1 \\ 2 \\ 2 \\ 1 \\ 90 \\ 0
   {etabular} upāntimena sva-ūrdhve hate antyena yute iti-ādi-karaṇena jātam	{eta-bular} upAntimena sva-UrDve hate antyena yute iti-Adi--karaNena jAtam
